agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
New York City Police Department,36023.0,Local police department,NY,New York,New York,10038,36061,,
Chicago Police Dept,13354.0,Local police department,IL,Cook,Chicago,60653,17031,,
Los Angeles Police Department,9727.0,Local police department,CA,Los Angeles,Los Angeles,90012,6037,,
Los Angeles County Sheriff's Office,9461.0,Sheriff's office,CA,Los Angeles,Monterey Park,91754,6037,,
California Highway Patrol,7202.0,Primary state law enforcement agency,CA,Sacramento,Sacramento,95818,6067,,
Philadelphia Police Department,6624.0,Local police department,PA,Philadelphia,Philadelphia,19136,42101,,
Cook County Sheriff's Office,5655.0,Sheriff's office,IL,Cook,Chicago,60602,17031,,
Houston Police Department,5053.0,Local police department,TX,Harris,Houston,77073,48201,,
New York State Police,4847.0,Primary state law enforcement agency,NY,Albany,Albany,12226,36001,,
Pennsylvania State Police,4458.0,Primary state law enforcement agency,PA,Dauphin,Harrisburg,17110,42043,,
Washington Metropolitan Police Department,3742.0,Local police department,DC,District of Columbia,Washington,20001,11001,,
Texas Department of Public Safety,3529.0,Primary state law enforcement agency,TX,Travis,Austin,78773,48453,,
Dallas Police Department,3389.0,Local police department,TX,Dallas,Dallas,75215,48113,,
Phoenix Police Department,3388.0,Local police department,AZ,Maricopa,Phoenix,85003,4013,,
Miami-Dade (County) Police Department,3093.0,Local police department,FL,Miami-Dade,Miami,33172,12086,,
New Jersey State Police,3053.0,Primary state law enforcement agency,NJ,Mercer,West Trenton,8628,34021,,
Baltimore Police Department,2990.0,Local police department,MD,Baltimore City,Baltimore,21211,24510,,
Las Vegas Metro Police Department,2942.0,Local police department,NV,Clark,Las Vegas,89101,32003,,
Nassau County Police Department,2732.0,Local police department,NY,Nassau,Mineola,11501,36059,,
Suffolk County Police Department,2622.0,Local police department,NY,Suffolk,Yaphank,11980,36103,,
Harris County Sheriff's Office,2558.0,Sheriff's office,TX,Harris,Houston,77002,48201,,
Massachusetts State Police,2310.0,Primary state law enforcement agency,MA,Middlesex,Framingham,1701,25017,,
Detroit Police Department,2250.0,Local police department,MI,Wayne,Detroit,48226,26163,,
Boston Police Department,2181.0,Local police department,MA,Suffolk,Boston,2120,25025,,
Riverside County Sheriff's Office,2147.0,Sheriff's office,CA,Riverside,Riverside,92501,6065,,
Illinois State Police,2105.0,Primary state law enforcement agency,IL,Sangamon,Springfield,62794,17167,,
San Antonio Police Department,2020.0,Local police department,TX,Bexar,San Antonio,78207,48029,,
Milwaukee Police Department,1987.0,Local police department,WI,Milwaukee,Milwaukee,53201,55079,,
San Diego Police Department,1951.0,Local police department,CA,San Diego,San Diego,92101,6073,,
San Francisco Police Department,1940.0,Local police department,CA,San Francisco,San Francisco,94103,6075,,
Honolulu (City and County) Police Department,1934.0,Local police department,HI,Honolulu,Honolulu,96813,15003,,
Baltimore County Police Department,1910.0,Local police department,MD,Baltimore,Towson,21286,24005,,
Columbus Police Department,1886.0,Local police department,OH,Franklin,Columbus,43215,39049,,
Virginia State Police,1873.0,Primary state law enforcement agency,VA,Chesterfield,Richmond,23235,51041,,
North Carolina State Highway Patrol,1827.0,Primary state law enforcement agency,NC,Wake,Raleigh,27611,37183,,
San Bernardino County Sheriff's Office,1797.0,Sheriff's office,CA,San Bernardino,San Bernardino,92415,6071,,
Orange County Sheriff-Coroner Department,1794.0,Sheriff's office,CA,Orange,Santa Ana,92702,6059,,
Michigan State Police,1732.0,Primary state law enforcement agency,MI,Ingham,East Lansing,48823,26065,,
Atlanta Police Department,1719.0,Local police department,GA,Fulton,Atlanta,30308,13121,,
Charlotte - Mecklenburg Police Department,1672.0,Local police department,NC,Mecklenburg,Charlotte,28202,37119,,
Port Authority of New York & New Jersey Police Department,1667.0,Special jurisdiction,NJ,Hudson,Jersey City,7310,34017,,
Jacksonville Sheriff's Office,1662.0,Local police department,FL,Duval,Jacksonville,32202,12031,,
Broward County Sheriff's Office,1624.0,Sheriff's office,FL,Broward,Fort Lauderdale,33312,12011,,
Cleveland Police Department,1616.0,Local police department,OH,Cuyahoga,Cleveland,44113,39035,,
Florida Highway Patrol,1606.0,Primary state law enforcement agency,FL,Leon,Tallahassee,32399,12073,,
Indianapolis Police,1582.0,Local police department,IN,Marion,Indianapolis,46204,18097,,
Prince George's County Police Department,1578.0,Local police department,MD,Prince Georges,Landover,20785,24033,,
Ohio State Highway Patrol,1560.0,Primary state law enforcement agency,OH,Franklin,Columbus,43211,39049,,
Memphis Police Department,1549.0,Local police department,TN,Shelby,Memphis,38103,47157,,
Denver Police Department,1525.0,Local police department,CO,Denver,Denver,80204,8031,,
Austin Police Department,1515.0,Local police department,TX,Travis,Austin,78768,48453,,
Fort Worth Police Department,1489.0,Local police department,TX,Tarrant,Fort Worth,76102,48439,,
Palm Beach County Sheriff's Office,1447.0,Sheriff's office,FL,Palm Beach,West Palm Beach,33406,12099,,
Maryland State Police,1440.0,Primary state law enforcement agency,MD,Baltimore,Pikesville,21208,24005,,
New Orleans Police Department,1425.0,Local police department,LA,Orleans,New Orleans,70119,22071,,
