agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips,addr1,addr2
New York City Police Department,36023,Local police department,NY,New York,New York,10038,36061,"One Police Plaza, Room 1400", 
Chicago Police Dept,13354,Local police department,IL,Cook,Chicago,60653,17031,3510 S Michigan, 
Los Angeles Police Department,9727,Local police department,CA,Los Angeles,Los Angeles,90012,6037,150 N. Los Angeles Street, 
Los Angeles County Sheriff's Office,9461,Sheriff's office,CA,Los Angeles,Monterey Park,91754,6037,Unit 1,4700 W. Ramona Blvd.
California Highway Patrol,7202,Primary state law enforcement agency,CA,Sacramento,Sacramento,95818,6067,2555 First Ave, 
Philadelphia Police Department,6624,Local police department,PA,Philadelphia,Philadelphia,19136,42101,523 Main Street, 
Cook County Sheriff's Office,5655,Sheriff's office,IL,Cook,Chicago,60602,17031,143 Gunflint Trail, 
Houston Police Department,5053,Local police department,TX,Harris,Houston,77073,48201,17000 Aldine Westfield, 
New York State Police,4847,Primary state law enforcement agency,NY,Albany,Albany,12226,36001,Building 22,1220 Washington Avenue
Pennsylvania State Police,4458,Primary state law enforcement agency,PA,Dauphin,Harrisburg,17110,42043,1800 Elmerton Ave, 
Washington Metropolitan Police Department,3742,Local police department,DC,District of Columbia,Washington,20001,11001,300 Indiana Avenue NW, 
Texas Department of Public Safety,3529,Primary state law enforcement agency,TX,Travis,Austin,78773,48453,"Attn: Cindy Torres, Hr",P O Box 4087
Dallas Police Department,3389,Local police department,TX,Dallas,Dallas,75215,48113,131 N. Gaston Avenue, 
Phoenix Police Department,3388,Local police department,AZ,Maricopa,Phoenix,85003,4013,Po Box 330, 
Miami-Dade (County) Police Department,3093,Local police department,FL,Miami-Dade,Miami,33172,12086,9105 N.W. 25Th Street, 
New Jersey State Police,3053,Primary state law enforcement agency,NJ,Mercer,West Trenton,8628,34021,P.O. Box 7068; River Road, 
Baltimore Police Department,2990,Local police department,MD,Baltimore City,Baltimore,21211,24510,416 West Market Street, 
Las Vegas Metro Police Department,2942,Local police department,NV,Clark,Las Vegas,89101,32003,3141 Sunrise Ave, 
Nassau County Police Department,2732,Local police department,NY,Nassau,Mineola,11501,36059,1490 Franklin Avenue, 
Suffolk County Police Department,2622,Local police department,NY,Suffolk,Yaphank,11980,36103,30 Yaphank Avenue, 
Harris County Sheriff's Office,2558,Sheriff's office,TX,Harris,Houston,77002,48201,1200 Baker St, 
Massachusetts State Police,2310,Primary state law enforcement agency,MA,Middlesex,Framingham,1701,25017,470 Worcester Rd, 
Detroit Police Department,2250,Local police department,MI,Wayne,Detroit,48226,26163,1300 Beaubien, 
Boston Police Department,2181,Local police department,MA,Suffolk,Boston,2120,25025,1 Schroeder Plaza, 
Riverside County Sheriff's Office,2147,Sheriff's office,CA,Riverside,Riverside,92501,6065,4095 Lemon St Fl 2,PO Box 512
Illinois State Police,2105,Primary state law enforcement agency,IL,Sangamon,Springfield,62794,17167,Po Box 19461, 
San Antonio Police Department,2020,Local police department,TX,Bexar,San Antonio,78207,48029,214 W. Nueva St., 
Milwaukee Police Department,1987,Local police department,WI,Milwaukee,Milwaukee,53201,55079,749 West State Street,P.O. Box 531
San Diego Police Department,1951,Local police department,CA,San Diego,San Diego,92101,6073,404 South Mier, 
San Francisco Police Department,1940,Local police department,CA,San Francisco,San Francisco,94103,6075,Suite 475,850 Bryant Street
Honolulu (City and County) Police Department,1934,Local police department,HI,Honolulu,Honolulu,96813,15003,801 South Beretania Street, 
Baltimore County Police Department,1910,Local police department,MD,Baltimore,Towson,21286,24005,700 E. Joppa Rd, 
Columbus Police Department,1886,Local police department,OH,Franklin,Columbus,43215,39049,300 E Maple, 
Virginia State Police,1873,Primary state law enforcement agency,VA,Chesterfield,Richmond,23235,51041,7700 Midlothian Turnpike, 
North Carolina State Highway Patrol,1827,Primary state law enforcement agency,NC,Wake,Raleigh,27611,37183,Archdale Building, 
San Bernardino County Sheriff's Office,1797,Sheriff's office,CA,San Bernardino,San Bernardino,92415,6071,655 E 3Rd St, 
Orange County Sheriff-Coroner Department,1794,Sheriff's office,CA,Orange,Santa Ana,92702,6059,Po Box 449,550 N Flower St
Michigan State Police,1732,Primary state law enforcement agency,MI,Ingham,East Lansing,48823,26065,714 South Harrison Rd, 
Atlanta Police Department,1719,Local police department,GA,Fulton,Atlanta,30308,13121,"675 Ponce De Leon, 9Th Floor", 
