agency_name,sworn_active_persnl,agency_type,state,county,city,zip,fips
1854 Treaty Authority Tribal Enforcement Division,3,Special jurisdiction,MN,St. Louis,Duluth,55811,27137
34,0,Local police department,Boulder City,Nevada,,NV,Clark
Abbeville County Sheriff's Office,25,Sheriff's office,SC,Abbeville,Abbeville,29620,45001
Abbeville Police Department,19,Local police department,SC,Abbeville,Abbeville,29620,45001
Abbeville Police Department,10,Local police department,AL,Henry,Abbeville,36310,1067
Abbeville Police Department,38,Local police department,LA,Vermilion,Abbveille,70510,22113
Abbeville Police Department,3,Local police department,GA,Wilcox,Abbeville,31001,13315
Aberdeen Police,35,Local police department,NJ,Monmouth,Aberdeen,7747,34025
Aberdeen Police Department,4,Local police department,ID,Bingham,Aberdeen,83210,16011
Aberdeen Police Department,26,Local police department,NC,Moore,Aberdeen,28315,37125
Aberdeen Police Department,36,Local police department,WA,Grays Harbor,Aberdeen,98520,53027
Aberdeen Police Department,2,Local police department,OH,Brown,Aberdeen,45101,39015
Aberdeen Police Department,38,Local police department,SD,Brown,Aberdeen,57402,46013
Aberdeen Police Department,17,Local police department,MS,Monroe,Aberdeen,39730,28095
Aberdeen Police Department,46,Local police department,MD,Harford,Aberdeen,21001,24025
Abernathy Police Department,4,Local police department,TX,Hale,Abernathy,79311,48189
Abilene City Marshal's Office,5,Constable/marshal,TX,Taylor,Abilene,79604,48441
Abilene Police Department,14,Local police department,KS,Dickinson,Abilene,67410,20041
Abilene Police Department,166,Local police department,TX,Taylor,Abilene,79604,48441
Abilene Recreational Patrol,2,Special jurisdiction,TX,Jones,Abilene,79604,48253
Abingdon Police Department,25,Local police department,VA,Washington,Abingdon,24210,51191
Abingdon Police Dept,-9,Local police department,IL,Knox,Abingdon,61410,17095
Abington Police Department,27,Local police department,MA,Plymouth,Abington,2351,25023
Abington Township Police Department,93,Local police department,PA,Montgomery,Abington,19001,42091
Abington Township Police Department,3,Local police department,PA,Lackawanna,Waverly,18471,42069
Abraham Baldwin Agricutural College Police Dept,14,Special jurisdiction,GA,Tift,Tifton,31794,13277
Abraham Lincoln Capital Aiport Public Safety,6,Special jurisdiction,IL,Sangamon,Springfield,62707,17167
Absecon Police,23,Local police department,NJ,Atlantic,Absecon,8201,34001
Absentee Shawnee Tribal Police of Oklahoma,6,Local police department,OK,Pushmataha,Shawnee,74801,40127
Acadia Parish Sheriff's Office,105,Sheriff's office,LA,Acadia,Crowley,70527,22001
Accomack County Sheriff's Office,27,Sheriff's office,VA,Accomack,Accomac,23301,51001
Achille Police Department,3,Local police department,OK,Bryan,Achille,74720,40013
Ackerman Police Department,5,Local police department,MS,Choctaw,Ackerman,39735,28019
Ackley Police Department,4,Local police department,IA,Hardin,Ackley,50601,19083
Acoma Tribal Police Department,0,Local police department,NM,Cibola,Acoma,87034,35006
Acton Police Department,33,Local police department,MA,Middlesex,Acton,1720,25017
Acushnet Police Department,17,Local police department,MA,Bristol,Acushnet,2743,25005
Acworth Police Department,37,Local police department,GA,Cobb,Acworth,30101,13067
Ada County Sheriff's Office,139,Sheriff's office,ID,Ada,Boise,83704,16001
Ada Police Department,8,Local police department,OH,Hardin,Ada,45810,39065
Ada Police Department,42,Local police department,OK,Pontotoc,Ada,74820,40123
Ada Police Department,3,Local police department,MN,Norman,Ada,56510,27107
Adair County Sheriff's Office,11,Sheriff's office,OK,Adair,Stilwell,74960,40001
Adair County Sheriff's Office,10,Sheriff's office,MO,Adair,Kirksville,63501,29001
Adair County Sheriff's Office,5,Sheriff's office,IA,Adair,Greenfield,50849,19001
Adair County Sheriff's Office,6,Sheriff's office,KY,Adair,Columbia,42728,21001
Adair Police Department,1,Local police department,IA,Adair,Adair,50002,19001
Adair Police Department,3,Local police department,OK,Mayes,Adair,74330,40097
Adairsville Police Department,12,Local police department,GA,Bartow,Adairsville,30103,13015
Adairville Police Department,1,Local police department,KY,Logan,Adairville,42202,21141
Adams County District Attorney's Office,1,Special jurisdiction,PA,Adams,Gettysburg,17325,42001
Adams County Sheriff's Office,27,Sheriff's office,WI,Adams,Friendship,53934,55001
Adams County Sheriff's Office,29,Sheriff's office,IL,Adams,Quincy,62301,17001
Adams County Sheriff's Office,30,Sheriff's office,MS,Adams,Natchez,39120,28001
Adams County Sheriff's Office,16,Sheriff's office,IN,Adams,Decatur,46733,18001
Adams County Sheriff's Office,20,Sheriff's office,OH,Adams,West Union,45693,39001
Adams County Sheriff's Office,364,Sheriff's office,CO,Adams,Brighton,80601,8001
Adams County Sheriff's Office,4,Sheriff's office,ND,Adams,Hettinger,58639,38001
Adams County Sheriff's Office,9,Sheriff's office,PA,Adams,Gettysburg,17325,42001
Adams County Sheriff's Office,10,Sheriff's office,ID,Adams,Council,83612,16003
Adams County Sheriff's Office,17,Sheriff's office,WA,Adams,Ritzville,99169,53001
Adams County Sheriff's Office,6,Sheriff's office,IA,Adams,Corning,50841,19003
Adams County Sheriff's Office,16,Sheriff's office,NE,Adams,Hastings,68902,31001
Adams Police Department,16,Local police department,MA,Berkshire,Adams,1220,25003
Adams Police Department,1,Local police department,MN,Mower,Adams,55909,27099
Adams Police Department,5,Local police department,WI,Adams,Adams,53910,55001
Adams State College Police Department,5,Special jurisdiction,CO,Alamosa,Alamosa,81102,8003
Adams Township Police Department,5,Local police department,PA,Butler,Mars,16046,42019
Adams Township Police Department,3,Local police department,PA,Cambria,Sidman,15955,42021
Adamsville Police Department,20,Local police department,AL,Jefferson,Adamsville,35005,1073
Adamsville Police Department,6,Local police department,TN,McNairy,Adamsville,38310,47109
Addis Police Department,8,Local police department,LA,West Baton Rouge,Addis,70710,22121
Addison County Sheriff's Office,9,Sheriff's office,VT,Addison,Middlebury,5753,50001
Addison Police Department,60,Local police department,TX,Dallas,Addison,75001,48113
Addison Police Department,-9,Local police department,AL,Winston,Addison,35540,1133
Addison Police Dept,72,Local police department,IL,Du Page,Addison,60101,17043
Addison Village Police Department,2,Local police department,NY,Steuben,Addison,14801,36101
Addyston Police Department,1,Local police department,OH,Hamilton,Addyston,45001,39061
Adel Police Department,8,Local police department,IA,Dallas,Adel,50003,19049
Adel Police Department,21,Local police department,GA,Cook,Adel,31620,13075
Adrian Police Department,1,Local police department,GA,Emanuel,Adrian,31022,13107
Adrian Police Department,33,Local police department,MI,Lenawee,Adrian,49221,26091
Adrian Police Department,2,Local police department,MN,Nobles,Adrian,56110,27105
Adrian Police Department,3,Local police department,MO,Bates,Adrian,64720,29013
Adrian Township Police Department,2,Local police department,MI,Lenawee,Adrian,49221,26091
Advance Police,1,Local police department,IN,Boone,Advance,46102,18011
Advance Police Department,-9,Local police department,MO,Stoddard,Advance,63730,29207
Afton Police Department,5,Local police department,WY,Lincoln,Afton,83110,56023
Afton Police Department,1,Local police department,IA,Union,Afton,50830,19175
Afton Village Police Department,-9,Local police department,NY,Chenango,Afton,13730,36017
Agawam Police Department,49,Local police department,MA,Hampden,Feeding Hills,1030,25013
Agra Police Department,1,Local police department,OK,Lincoln,Agra,74824,40081
Ahoskie Police Department,17,Local police department,NC,Hertford,Ahoskie,27910,37091
Aiken County Sheriff's Office,125,Sheriff's office,SC,Aiken,Aiken,29801,45003
